Date,Time,Open,High,Low,Close,TickVol,Vol,Spread
2025.03.05,10:00:00,2917.71,2921.67,2916.62,2921.33,2197,0,15
2025.03.05,10:15:00,2921.32,2922.05,2919.06,2919.88,2055,0,15
2025.03.05,10:30:00,2919.86,2920.7,2917.26,2919.38,1830,0,15
2025.03.05,10:45:00,2919.37,2920.95,2918.49,2919.95,1511,0,15
2025.03.05,11:00:00,2919.98,2922.57,2918.11,2919.22,1797,0,15
2025.03.05,11:15:00,2919.21,2919.76,2915.08,2916.44,1760,0,15
2025.03.05,11:30:00,2916.45,2918.29,2913.24,2918.06,1606,0,15
2025.03.05,11:45:00,2918.01,2919.42,2916.8,2918.84,1667,0,15
2025.03.05,12:00:00,2918.86,2919.14,2916.65,2916.97,1647,0,15
2025.03.05,12:15:00,2916.98,2917.79,2914.18,2917.35,1617,0,15
2025.03.05,12:30:00,2917.46,2918.33,2914.77,2915.38,1636,0,15
2025.03.05,12:45:00,2915.37,2915.66,2909.07,2913.39,1808,0,15
2025.03.05,13:00:00,2913.35,2915.45,2913.01,2914.33,1686,0,15
2025.03.05,13:15:00,2914.34,2915.07,2913.32,2913.61,1200,0,15
2025.03.05,13:30:00,2913.83,2916.69,2912.6,2915.31,1332,0,15
2025.03.05,13:45:00,2915.32,2917.25,2912.05,2913.23,1635,0,15
2025.03.05,14:00:00,2913.19,2917.94,2912.28,2917.91,1725,0,15
2025.03.05,14:15:00,2917.9,2919.29,2916.22,2918.47,1818,0,15
2025.03.05,14:30:00,2918.45,2918.82,2914.31,2915.69,1793,0,15
2025.03.05,14:45:00,2915.68,2917.31,2914.13,2916.09,1589,0,15
2025.03.05,15:00:00,2916.5,2916.5,2912.12,2913.79,2018,0,15
2025.03.05,15:15:00,2913.62,2916.54,2911.38,2913.1,2258,0,10
2025.03.05,15:30:00,2913.16,2913.84,2898.29,2899.89,2335,0,15
2025.03.05,15:45:00,2899.95,2904.15,2894.33,2899.92,2827,0,15
2025.03.05,16:00:00,2899.98,2906.6,2899.33,2902.18,2608,0,15
2025.03.05,16:15:00,2902.25,2905.43,2897.63,2904.97,2472,0,15
2025.03.05,16:30:00,2904.92,2917.18,2904.92,2914.43,2867,0,15
2025.03.05,16:45:00,2914.45,2916.72,2910.02,2912.13,2698,0,15
2025.03.05,17:00:00,2912.42,2921.68,2908.22,2916.91,3029,0,10
